location,property_area,bed,street,features,bath,toilet,description,price,median_price,Maxi,Min
ajah,abijo,3,Olanrewaju laneAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,A LOVELY 3 BEDROOM FLAT,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Destiny HomesAbijo Ajah Lagos,3 beds 3 baths 4 Toilets,3,4,3 BED ROOM FLAT,850000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Destiny Home EstateAbijo Ajah Lagos,3 beds 0 baths 0 Toilets,0,0,BRAND NEW 3 BEDROOM FLAT,850000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Ajao estate Isolo.Lagos Mainland Ajao Estate Isolo Lagos,3 beds 3 baths 4 Toilets,3,4,5NOS TASTEFULLY BUILT LUXURY 3 BEDROOMS FLAT,850000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,Adeyinka Oni CloseAbijo Ajah Lagos,3 beds 2 baths 3 Toilets,2,3,A LUXURY 3 BEDROOM APARTMENT,700000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,"Catholic church, GRA.Abijo Ajah Lagos",3 beds 2 baths 3 Toilets,2,3,4 UNITS OF 3 BEDROOM FLATS,700000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,"Abijo, Abijo Ajah Lagos",3 beds 3 baths 3 Toilets,3,3,3 BEDROOM FLAT,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,3,"16 Olayinka Olanuga Street,Abijo Ajah Lagos",3 beds 2 baths 3 Toilets,2,3,3 BEDROOM FLAT IN AJAH,900000.0,850000.0,1000000.0,700000.0
ajah,abijo,4,Chois Garden Estate Abijo GRAAbijo Ajah Lagos,4 beds 3 baths 4 Toilets,3,4,4 BEDROOM SEMI-DETACHED DUPLEX FOR RENT,1500000.0,1500000.0,1500000.0,1350000.0
ajah,abijo,4,- Abijo Ajah Lagos,4 beds 0 baths 0 Toilets,0,0,4 BEDROOM TERRACE DUPLEX,1500000.0,1500000.0,1500000.0,1350000.0
ajah,abijo,4,... Old Ikoyi Ikoyi Lagos,4 beds 4 baths 5 Toilets,4,5,"MODERN, LUXURIOUS AND BEAUTIFULLY FINISHED 3 AND 4 BEDROOMS FLAT",1500000.0,1500000.0,1500000.0,1350000.0
ajah,abijo,4,Ikeja Gra Ikeja GRA Ikeja Lagos,4 beds 4 baths 5 Toilets,4,5,(OFF PLAN) LUXURY AND SERVICED 6UNITS 4BEDROOM TERRACE HOUSE WITH BQ EACH,1500000.0,1500000.0,1500000.0,1350000.0
ajah,abijo,4,ABIJO GRAAbijo Ajah Lagos,4 beds 0 baths 0 Toilets,0,0,4 BEDROOM SEMI DETACHED DUPLEX,1500000.0,1500000.0,1500000.0,1350000.0
ajah,abijo,4,Ikota Lekki Lagos,4 beds 4 baths 5 Toilets,4,5,NEWLY AMAZING 4 BEDROOM DUPLEX WITH GOOD FACILITIES,1500000.0,1500000.0,1500000.0,1350000.0
ajah,abijo,4,-Abijo Ajah Lagos,4 beds 4 baths 5 Toilets,4,5,LARGE SIZED 4 BEDROOM TERRACE DUPLEX,1500000.0,1500000.0,1500000.0,1350000.0
ajah,abijo,4,Off orchid road lekki Lekki Phase 2 Lekki Lagos,4 beds 4 baths 5 Toilets,4,5,4BEDROOM TERRACE HOUSE FULLY SERVICE,1500000.0,1500000.0,1500000.0,1350000.0
ajah,abraham-adesanya-estate,1,Lekki scheme 2 ajah LagosAbraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,A ROOM SELF CONTAIN,400000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Road 6Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,MINI FLAT,450000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Road 6Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,SELF CONTAINED,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,June 12 RoadAbraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,PORTABLE REFURBISHED MINI FLAT,500000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,"Akinsemoyin layout, ten family, behind Eco busAbraham Adesanya Estate Ajah Lagos",1 beds 1 baths 1 Toilets,1,1,A ROOM SELFCON,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Lekki scheme 2Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,SHARED APARTMENT SELFCON,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Scheme 2 off abraham adesanya estate ajahAbraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,BRAND NEW BEAUTIFUL DUPLEX SHARED APARTMENT FOR RENT AT AJAH,400000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,A ROOM IN A SHARED APARTMENT,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,..Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,NEAT AND SPACIOUS MINI FLAT,450000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,-Abraham Adesanya Estate Ajah Lagos,0 beds 0 baths 0 Toilets,0,0,STANDARD SELF CONTAINED,350000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Lekki scheme 2Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,A ROOM SELF CONTAIN,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Abraham Adesanya Estate Ajah Lagos,1 beds 0 baths 0 Toilets,0,0,SELF CONTAIN,350000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Abraham Adesanya Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,SHARED APARTMENT SELFCON,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Taiye Olowu Street Off Victoria Arobieke. Lekki Phase 1 Lekki Lagos,1 beds 1 baths 2 Toilets,1,2,LUXURY 1 (ONE) BEDROOM FLAT,360000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,"A ROOM SELF CONTAIN 300,000N AND A MINI FLAT 450,000N AT LEKKI SCHEME II ABRAHAM ADESANYA AGENCY",450000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,A ROOM SELF CONTAIN AVAILABLE FOR RENT AT ABRAHAM ADESANYA,400000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,"Road 7, lekki scheme II estate by Abraham Adesanya Abraham Adesanya Estate Ajah Lagos",1 beds 1 baths 1 Toilets,1,1,A ROOM SELF CONTAIN AVAILABLE FOR RENT,400000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,A MINI FLAT FOR RENT AT ABRAHAM ADESANYA ESTATE,450000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Road 6 June 12Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 2 Toilets,1,2,NEWLY BUILT ROOM AND PARLOR SELF CONTAINED,360000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,araromiAbraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,BRAND NEW MINI FLAT AT ARAROMI BEHIND LEKKI GARDENS,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,SanusiAbraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,A SWEET SELF CONTAIN,350000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Off Road 7Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,1 BEDROOM SELF CONTAINED,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,Off Road 7Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths Toilets,1,0,1 BEDROOM SELF CONTAINED,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,KM 52 Lekki Epe Expressway Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,SINGLE ROOM,400000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,KM 52 Lekki Epe Expressway Abraham Adesanya Estate Ajah Lagos,1 beds 1 baths 1 Toilets,1,1,SINGLE ROOM,300000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,T.F Kuboye Lekki 1 Lekki Lagos,1 beds 1 baths 1 Toilets,1,1,1 BEDROOM FURNISHED APARTMENT,360000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,1,T.F Kuboye Lekki 1 Lekki Lagos,1 beds 1 baths 1 Toilets,1,1,1 BEDROOM FURNISHED APARTMENT,360000.0,360000.0,537500.0,300000.0
ajah,abraham-adesanya-estate,2,Lekki scheme 2 ajah LagosAbraham Adesanya Estate Ajah Lagos,2 beds 2 baths 2 Toilets,2,2,2 BEDROOM APARTMENT,1000000.0,1000000.0,1200000.0,750000.0
